address,Town,State,isHostedBySuperhost,location/lat,location/lng,name,numberOfGuests,pricing/rate/amount,roomType,stars
"Bijainagar, Rajasthan, India",Bijainagar," Rajasthan, India",0,25.91,74.59,Bijay Niwas Palace - A Heritage Hotel,15,722,Room In Heritage Hotel,
"Aamwala, Uttarakhand, India",Aamwala," Uttarakhand, India",1,30.37,77.99,"Div Estate: Wedding Venue (Aamwala, Dehradun)",10,601,Farm Stay,
"Nerul, Goa, India",Nerul," Goa, India",0,15.51,73.80,11bhk (5+6)Luxury Private Pool Villa Near Candolim,16,601,Entire Villa,
"Gurugram, Haryana, India",Gurugram," Haryana, India",0,28.36,77.00,Video Shoot Package,16,601,Farm Stay,
"Mararikulam, Kerala, India",Mararikulam," Kerala, India",0,9.60,76.30,Ninteen People Accomodation At Mararikulam Beach,16,541,Private Room In Bed And Breakfast,
"Alappuzha, Kerala, India",Alappuzha," Kerala, India",0,9.48,76.39,Spice Routes Houseboats - Pepper,4,534,Houseboat,
"Alappuzha, India",Alappuzha, India,0,9.46,76.39,Spice Routes Houseboat- Saffron,2,541,Houseboat,
"Calangute, Goa, India",Calangute," Goa, India",0,15.57,73.76,9 Bedroom Villa With Swimming Pool @ Baga River,16,490,Entire Villa,
"Chuchot Yakma, India",Chuchot Yakma, India,0,34.09,77.58,Chomal Huts,10,541,Private Room In Resort,
"Nashik, Maharashtra, India",Nashik," Maharashtra, India",0,20.07,73.64,Gp Farm 8bh Villa,16,505,Private Room In Resort,
"Sangolda, Goa, India",Sangolda," Goa, India",0,15.54,73.81,Monforte Villa I By Lohono Stays,8,655,Entire Home,
"Penha De França, Goa, India",Penha De França," Goa, India",0,15.54,73.82,Boohemiaa Greek Villa (With Private Pool),6,593,Entire Villa,
"Kashid, Maharashtra, India",Kashid," Maharashtra, India",0,18.44,72.91,Beacho 8bhk By Unexplora,14,541,Entire Bungalow,
"Gadherni, Himachal Pradesh, India",Gadherni," Himachal Pradesh, India",0,32.21,77.18,Princess Villa Manali,16,601,Room In Boutique Hotel,
"Lonavla, Maharashtra, India",Lonavla," Maharashtra, India",0,18.78,73.39,Mountain-View - 3br W/Swimming Pool @Geometrica,9,500,Entire Villa,
"Udaipur, Rajasthan, India",Udaipur," Rajasthan, India",0,24.63,73.63,The Rustic Pines,16,577,Entire Chalet,
"Kumdal, Maharashtra, India",Kumdal," Maharashtra, India",0,19.71,73.01,Pasiiflora (Wada),16,533,Farm Stay,
"New Delhi, Delhi, India",New Delhi," Delhi, India",0,28.64,77.17,Stay In Heritage House In The Heart Of City,15,601,Entire Home,
"Candolim, Goa, India",Candolim," Goa, India",0,15.53,73.80,Perfect Getaway - Lux 6br+Pool,16,678,Entire Home,
"Varanasi, Uttar Pradesh, India",Varanasi," Uttar Pradesh, India",0,25.31,82.97,Luxurious Penthouse - 11th Floor -Pickup On Demand,6,601,Entire Condo,
"New Delhi, Delhi, India",New Delhi," Delhi, India",0,28.49,77.21,★ Farmhouse For Your Socially-Distanced Parties ★,10,613,Private Room In Farm Stay,
"Kerala, India",Kerala, India,0,11.53,76.15,Family Superior Cottage - Morning Glory,4,722,Private Room In Bed And Breakfast,
"Dona Paula, Goa, India",Dona Paula," Goa, India",0,15.46,73.80,Villa Serene - Private Pool Villa,10,601,Entire Villa,
"Zirad, Maharashtra, India",Zirad," Maharashtra, India",0,18.75,72.91,Stayvista At Amarillo Villa- Rustic 4br W/Pool,11,528,Entire Villa,4.67
"Almora, Uttarakhand, India",Almora," Uttarakhand, India",0,29.71,79.75,Nine Furlongs - Kakarkot - The Forest Bungalow,4,532,Private Room In Nature Lodge,
"North Goa, Goa, India",North Goa," Goa, India",1,15.56,73.78,9bhk Villa For Big Groups Nr Baga & Calangute,16,549,Entire Home,
"Waghodia, Gujarat, India",Waghodia," Gujarat, India",0,22.33,73.53,The Wilderness Homestay And Farm,12,533,Farm Stay,
"Ahmedabad, Gujarat, India",Ahmedabad," Gujarat, India",0,23.02,72.37,Kalhaar Blues&Greens Luxurious Golf Villa(Entire),6,541,Entire Bungalow,
"Udaipur, Rajasthan, India",Udaipur," Rajasthan, India",0,24.57,73.65,Farm Villa @ Devra Udaipur- 8 Rooms N Pool,16,577,Entire Villa,
"New Delhi, Delhi, India",New Delhi," Delhi, India",0,28.44,77.19,Farmhouse For Corporate Events And Pool Party !!!,16,722,Farm Stay,
"Coimbatore, Tamil Nadu, India",Coimbatore," Tamil Nadu, India",0,11.03,76.94,Dwaraka Inn -6br With Luxurious Pool And Garden,16,503,Entire Villa,
"Raiseena, Haryana, India",Raiseena," Haryana, India",0,28.32,77.02,12 B.Room Boutique Resort With Pool In Gurgaon.,16,541,Private Room In Resort,
"Kamshet, Maharashtra, India",Kamshet," Maharashtra, India",0,18.75,73.54,"Foresta By The Lake, Pool, Turf, Game Room &Gazebo",16,565,Entire Villa,
"Baga, Goa, India",Baga," Goa, India",0,15.56,73.76,Luxurious 5bhk Private Pool Beach Villa @ Baga,15,490,Entire Villa,3.33
"Raigad, Maharashtra, India",Raigad," Maharashtra, India",0,18.49,72.90,By The Sea Villa.... Sea View Rooms With A Pool..,16,661,Entire Villa,
"Jaipur, Rajasthan, India",Jaipur," Rajasthan, India",1,26.91,75.78,Newly Constructed Luxury Home: 8 Rooms: Bonfire,16,698,Entire Bungalow,
"Mussoorie, Uttarakhand, India",Mussoorie," Uttarakhand, India",0,30.44,78.21,A Luxurious Mountain Bungalow With Stunning Views,8,499,Entire Villa,
"Chouk, Mh, India",Chouk," Mh, India",0,18.92,73.28,Triangle,10,558,Entire Villa,
"Shahpur, Maharashtra, India",Shahpur," Maharashtra, India",0,19.46,73.38,"7br Goil Farms -Shahpur, 1.5hrs Drive From Mumbai.",16,707,Entire Villa,
"New Delhi, Delhi, India",New Delhi," Delhi, India",0,28.59,77.25,Colonial Bungalow In A Serene Locality In Delhi,15,661,Entire Bungalow,
"Mahabaleshwar, Maharashtra, India",Mahabaleshwar," Maharashtra, India",0,17.93,73.67,Horizon 360 - Pet Friendly Villa For Family,15,548,Entire Villa,
"Reis Magos, Goa, India",Reis Magos," Goa, India",0,15.51,73.81,Luxurious 5+1 Bhk Villa With Pool On River Bank.,12,541,Entire Villa,
"Kumarakom, Kerala, India",Kumarakom," Kerala, India",0,9.59,76.42,5 Lakeside Villas For Up To 27 Person In Kumarakom,16,601,Entire Villa,
"Aundholi, Maharashtra, India",Aundholi," Maharashtra, India",0,18.71,73.46,9bhk Vibhati Resort For Large Group And Events.,16,567,Private Room In Resort,
"Calangute, Goa, India",Calangute," Goa, India",0,15.54,73.77,The Baga Beach Villa 5bhk With Private Pool,15,601,Entire Villa,
"Calangute, Goa, India",Calangute," Goa, India",1,15.53,73.76,7bhk Beach Villa With Private Pool,16,545,Entire Villa,4.93
"Bagru, Rajasthan, India",Bagru," Rajasthan, India",0,26.78,75.53,Haveli Anirudh 7 Br With Pool Near Jaipur,16,524,Farm Stay,
"Narendra Nagar, Uttarakhand, India",Narendra Nagar," Uttarakhand, India",0,30.14,78.31,Pushp Villa At Amayaah Resorts,6,706,Private Room In Resort,
"Candolim, Goa, India",Candolim," Goa, India",1,15.52,73.77,2 Private Pool Villa'S In Candolim - Pvt Cook,16,561,Entire Home,4.33
"Assagaon, Goa, India",Assagaon," Goa, India",0,15.60,-73.75,Villa Evora By Lohono Stays,10,640,Entire Villa,
"Assagao, Goa, India",Assagao," Goa, India",0,15.60,73.78,The Project Cafe - Portuguese Villa,13,541,Entire Villa,
"Kune N.M., Maharashtra, India",Kune N.M.," Maharashtra, India",0,18.77,73.38,Palacio - 6bhk Mansion,16,598,Entire Villa,
"Vagator, Goa, India",Vagator," Goa, India",1,15.59,73.75,12 Bedroom Heritage+ Boutique Stay+ Vagator,16,661,Entire Villa,
"Dabolim, Goa, India",Dabolim," Goa, India",0,15.37,73.89,"""Splendid 3 Bhk Apartments With Pool & Seaview!""",7,601,Entire Condo,2.33
"Kasauli, Himachal Pradesh, India",Kasauli," Himachal Pradesh, India",0,30.90,76.96,Exotic Farm House |6 Acre | Orchards | Ac |Solan,16,601,Farm Stay,
"Tangmarg, Jammu And Kashmir, India",Tangmarg," Jammu And Kashmir, India",0,34.04,74.41,Stayvista At Frosty @ Frozen Fall - Drung,10,716,Private Room In Villa,
"Tilase, Maharashtra, India",Tilase," Maharashtra, India",0,19.65,73.21,The Purple Lotus,16,661,Farm Stay,
"Colovale, Goa, India",Colovale," Goa, India",0,15.65,73.82,5 Bedroom Villa On The Chapora River In Colvale,8,722,Entire Villa,4.73
"Candolim, Goa, India",Candolim," Goa, India",0,15.52,73.79,Chikoo Sky New 5bhk Villa Private Pool Candolim,14,550,Entire Villa,4.70
"Udaipur, Rajasthan, India",Udaipur," Rajasthan, India",1,24.55,73.68,Anagha Homestay,16,490,Entire Bungalow,4.91
"Virajpet, Kodagu, Ka, India",Virajpet," Kodagu, Ka, India",0,12.20,75.80,Villa Magnolia - On A Coffee Plantation,8,601,Entire Bungalow,4.42
"North Goa, Goa, India",North Goa," Goa, India",0,15.50,73.78,Ziva Villa With A Private Pool,16,541,Entire Home,4.57
"Mahabaleshwar, Maharashtra, India",Mahabaleshwar," Maharashtra, India",0,17.97,73.66,Super Premium Bungalow With Pool | Mahabaleshwar,12,723,Entire Villa,
"Nashik, Maharashtra, India",Nashik," Maharashtra, India",0,20.01,73.67,Stayvista At Villa Meer - 6br W/ Pool & Huge Lawn,16,505,Entire Villa,4.25
"Lonavala, Maharashtra, India",Lonavala," Maharashtra, India",0,18.75,73.41,7br W/ Swimming Pool & Pool Table @ Mehta Mansion,16,530,Private Room In Villa,4.33
"Khandala, Maharashtra, India",Khandala," Maharashtra, India",0,18.76,73.37,Belle Vue Cottage - Luxury Victorian Property,16,503,Entire Bungalow,4.85
"Bengaluru, Karnataka, India",Bengaluru," Karnataka, India",0,12.79,77.66,White Escape Sky Villa Penthouse,15,577,Entire Rental Unit,4.67
"Zirad, Maharashtra, India",Zirad," Maharashtra, India",0,18.75,72.89,Zen Villa: Luxury 5bhk Farmhouse By Limestays,16,558,Entire Villa,4.33
"Chennai, Tn, India",Chennai," Tn, India",0,12.86,80.25,Regal Juhu Villa By The Beach Chennai.,10,722,Entire Home,
"Ernakulam, Kerala, India",Ernakulam," Kerala, India",0,9.90,76.33,976 Panangad,8,661,Entire Villa,
"Lonavala, Maharashtra, India",Lonavala," Maharashtra, India",0,18.77,73.39,Stayvista At Ayurkutir Villa - 9 Br,16,612,Entire Villa,
"Gurugram, Haryana, India",Gurugram," Haryana, India",0,28.43,77.04,"Ultra Luxurious Penthouse ,5 Star Facilities",10,678,Entire Rental Unit,
"Calangute, Goa, India",Calangute," Goa, India",0,15.54,73.77,Summertime - An Award Winning Luxury Villa In Goa,7,577,Entire Place,4.73
"North Goa, Goa, India",North Goa," Goa, India",0,15.55,73.77,7 Bedroom Luxury Villa + Private Pool + Beach Near,16,549,Entire Villa,4.84
"New Delhi, Delhi, India",New Delhi," Delhi, India",0,28.48,77.15,4bhk Luxury Farmvilla,8,679,Entire Villa,
"Alappuzha, Kerala, India",Alappuzha," Kerala, India",0,9.54,76.36,"The Rain 4bhk W/Breakfast, Kayaking & Infinty Pool",12,548,Entire Villa,4.85
"Bardez, Goa, India",Bardez," Goa, India",0,15.60,73.74,Boutique 6bhk Wit Privatepool-Partyarea In Vagator,16,605,Entire Villa,
"Bardez, Goa, India",Bardez," Goa, India",0,15.52,73.85,6 Room Villa In Britona On The Mandovi River,10,722,Entire Villa,4.63
"Sangolda, Goa, India",Sangolda," Goa, India",0,15.54,73.82,8 Rooms | 2 Villas | 1 Private Pool | Fab Views,16,722,Entire Villa,4.67
"Lonavala, Maharashtra, India",Lonavala," Maharashtra, India",0,18.76,73.39,"Villa 41- 6br W/Pool, Poker Table & Lawn",16,619,Entire Villa,
"Nerul, Goa, India",Nerul," Goa, India",1,15.51,73.79,7br Super Luxury Villa • 2 Private Pool • Candolim,16,731,Entire Villa,
"Aldona, Goa, India",Aldona," Goa, India",1,15.60,73.87,4 Bhk Heritage Home With Big Pool-The Aldona House,10,722,Entire Home,4.90
"Chennai, Tamil Nadu, India",Chennai," Tamil Nadu, India",1,12.75,80.24,Villa Waves - Bali Beach Villa On Ecr Near Kovalam,6,515,Entire Villa,4.94
"Nerul, Goa, India",Nerul," Goa, India",0,15.50,73.80,4bhk Private Pool + Sea View + Caretaker -Candolim,12,495,Entire Villa,4.31
"Garat Pur Bas, Haryana, India",Garat Pur Bas," Haryana, India",0,28.32,77.02,The Bistendu Resort - Private Boutique Resort 7bhk,16,490,Room In Boutique Hotel,4.75
"Vadanemmeli, Tamil Nadu, India",Vadanemmeli," Tamil Nadu, India",1,12.75,80.24,Villa Aqua -Luxury Beach Villa On Ecr Near Kovalam,10,722,Entire Villa,4.83
"Nerul , Goa, India",Nerul ," Goa, India",0,15.50,73.79,Sunscape - Sea View 3bhk Luxury Apartment,6,692,Entire Rental Unit,5.00
"Nerul, Goa, India",Nerul," Goa, India",0,15.50,73.80,Sea View Villa With Infinity Pool,10,601,Entire Villa,5.00
"Candolim, Goa, India",Candolim," Goa, India",0,15.51,73.77,"3bhk, Pvt Pool, Nr Beach Larisa Candolim Lux Villa",9,513,Entire Home,4.77
"Dona Paula Beach, Goa, India",Dona Paula Beach," Goa, India",0,15.45,73.83,Luxe Private Pool Sea View Villa,12,512,Entire Villa,4.83
"Mandrem, North Goa, Goa, India",Mandrem," North Goa, Goa, India",0,15.66,73.71,Private Villa With Living Room And Private Pool,15,711,Entire Villa,3.71
"Reis Magos, Goa, India",Reis Magos," Goa, India",0,15.50,73.80,Dolphin Heights 5bhk Sea View Pool Villa Candolim,14,498,Entire Villa,4.73
"Lonavla, Maharashtra, India",Lonavla," Maharashtra, India",0,18.76,73.38,Gardenview Aurus Grande - 5br W/Pool & Pool Table,15,636,Entire Villa,4.55
"Assagao, Goa, India",Assagao," Goa, India",0,15.59,73.78,Luxurious 5bhk Villa With A Caretaker In Assagao,15,498,Entire Villa,4.88
"North Goa, Goa, India",North Goa," Goa, India",1,15.54,73.77,Indulgent Elegant With Luxury Villa Private Pool,16,775,Entire Home,4.80
"Alappuzha, Kerala, India",Alappuzha," Kerala, India",0,9.49,76.39,Spice Routes Houseboats - Clove,6,698,Houseboat,
"Aryad South, Kerala, India",Aryad South," Kerala, India",1,9.52,76.36,9bedroom Premium Houseboat,16,728,Houseboat,
"Candolim, Goa, India",Candolim," Goa, India",1,15.53,73.79,Villa No 6(Nearly A Acre Plot)With A Pool,13,722,Entire Villa,5.00
"Gurgaon, Hr, India",Gurgaon," Hr, India",1,28.38,77.07,Chopra Farms Gurgaon-Private 5bhk Farm Villa,16,481,Farm Stay,4.86
"Saligao, Goa, India",Saligao," Goa, India",0,15.55,73.79,7bhk Casa-De-Flora Villa With Large Private Pool,16,481,Entire Villa,
"Gurgaon, Haryana, India",Gurgaon," Haryana, India",0,28.28,76.86,"Ivy Bridge- Luxurious, Green With Pool & Jacuzzi",14,447,Farm Stay,4.50
"Barashiv, Maharashtra, India",Barashiv," Maharashtra, India",0,18.49,72.90,O'Nest By The Beach 8bhk Villa With Private Pool,16,481,Private Room In Resort,
"Lonavla, Maharashtra, India",Lonavla," Maharashtra, India",0,18.78,73.39,5 Beds Luxury Private Pool Villa In Khandala,15,447,Entire Villa,4.25
"Vagator, Goa, India",Vagator," Goa, India",1,15.60,73.75,Assagao Luxury Heritage Goan Villa With Pvt Pool,14,477,Entire Villa,4.88
"Calangute, Bardez North Goa, India",Calangute," Bardez North Goa, India",1,15.54,73.77,6-10br Priv. Villa + Pool | B'Fast | Staff | Cook,16,680,Entire Villa,
"Alibag, Maharashtra, India",Alibag," Maharashtra, India",0,18.79,72.88,"Arabella, 4br Luxury Pool Villa Near Mandwa Jetty",16,458,Entire Villa,
"Bengaluru, Karnataka, India",Bengaluru," Karnataka, India",0,13.14,77.53,Mi Casa By Chazing Purple,10,481,Farm Stay,3.33
"Panchgani, Maharashtra, India",Panchgani," Maharashtra, India",0,17.93,73.76,Tudor Rose - Swiss Chalet With Tudor Styled Facade,12,474,Entire Villa,4.75
"Goa, India",Goa, India,0,15.50,73.80,4bhk Sea View Villa @Reismagos Candolim,12,457,Entire Home,
"Candolim, Goa, India",Candolim," Goa, India",0,15.52,73.76,"Luxury Serviced Beach House On Candolim Beach, Goa",9,480,Entire Villa,4.36
"Chennai, Tamil Nadu, India",Chennai," Tamil Nadu, India",0,12.88,80.25,Khushana Villa By Baywatchstayzz,8,442,Entire Villa,
"Assagao, Goa, India",Assagao," Goa, India",1,15.60,73.78,Luxe 5 Br Heritage Pool Villa,10,457,Entire Villa,4.75
"Haryana, India",Haryana, India,0,28.37,77.05,Jain Farms,16,447,Farm Stay,
"Goa, India",Goa, India,0,15.54,73.81,4br Casa Do Amor Pvt Pool & Breakfast,11,480,Entire Villa,
"Mirik, West Bengal, India",Mirik," West Bengal, India",1,26.88,88.18,"Birdsong Home, Entire Bungalow With Terrace, Deck",14,457,Entire Bungalow,4.60
"Vagator, Goa, India",Vagator," Goa, India",0,15.59,73.75,Lamaroma | Luxurious Villa|Caretaker| Pvt Pool| Dg,7,477,Entire Home,
"Udaipur, Rajasthan, India",Udaipur," Rajasthan, India",0,24.50,73.68,Beautiful Villa For A Luxurious Stay,9,421,Entire Villa,
"North Goa, Goa, India",North Goa," Goa, India",0,15.56,73.78,4br Pvt Pool Villa With Chef - Wifi - North Goa,16,481,Entire Villa,
"Anjuna, Goa, India",Anjuna," Goa, India",0,15.60,73.75,Lasierra | 3bhk | Cosy Pvt Pool Villa | Breakfast,7,468,Entire Home,4.88
"Manali, Himachal Pradesh, India",Manali," Himachal Pradesh, India",0,32.25,77.17,Stayvista @The Lama House 6br W/Bonfire+Lawn+View,16,448,Entire Villa,
"Hosur , Tamil Nadu, India",Hosur ," Tamil Nadu, India",0,12.80,77.83,"4 Luxurytents W/ Ac, Private Pool, Bbq",16,459,Tent,
"Ashvem Beach, Goa, India",Ashvem Beach," Goa, India",1,15.64,73.72,Private Cottages - Beachfront Boutique Resort,14,463,Hut,
"Anjuna, Goa, India",Anjuna," Goa, India",0,15.59,73.74,Pura Vida Ii By Hireavilla-3br W Pool In Anjuna,9,392,Entire Villa,4.79
"Candolim, Goa, India",Candolim," Goa, India",0,15.51,73.77,4bhk Rosette Villa With Private Pool At Candolim,10,457,Entire Villa,
"Assagao, Goa, India",Assagao," Goa, India",0,15.60,73.78,Daaya Luxury Private Pool 3bhk Villa At Assagao,6,451,Entire Villa,
"Rishikesh, Uttarakhand, India",Rishikesh," Uttarakhand, India",0,30.12,78.31,Luxury Cottages | 4 Bedrooms | Scenic Views,11,449,Entire Cottage,
"Manali, Himachal Pradesh, India",Manali," Himachal Pradesh, India",0,32.25,77.18,Perfect Cottage 1 Km From Mall Road,12,481,Private Room In Bed And Breakfast,
"Gurugram, Haryana, India",Gurugram," Haryana, India",0,28.27,76.86,4 Bedroom Boutique Farmhouse With Common Pool,12,421,Entire Villa,4.54
"Mumbai, Mh, India",Mumbai," Mh, India",1,19.13,72.81,Versova Beach Sunset With Mumbai Coastline View,4,428,Entire Condo,4.80
"Navelim, Goa, India",Navelim," Goa, India",0,15.26,73.92,1bhk Ac Room With Swimming Pool,3,722,Room In Serviced Apartment,4.84
"Kune N.M., Maharashtra, India",Kune N.M.," Maharashtra, India",0,18.76,73.39,Myna Villa I,16,397,Entire Villa,3.25
"Haleyangadi, Karnataka, India",Haleyangadi," Karnataka, India",0,13.05,74.78,Mangalore Beach House: Villa Elegance,16,481,Entire Villa,
"Mumbai, Maharashtra, India",Mumbai," Maharashtra, India",0,19.19,72.84,Kalpataru Hometel - Best Ac Bnb Rooms In Malad,16,481,Private Room In Bed And Breakfast,
"Dodamarg Maharashtra, India",Dodamarg Maharashtra, India,0,15.68,74.05,Shivaaz Holiday Farms - Near Mopa Airport Goa,16,463,Farm Stay,
"Rishikesh, Uttarakhand, India",Rishikesh," Uttarakhand, India",0,30.10,78.30,Meeram Ganga-Riverside Boutique Stay In Rishikesh,16,445,Room In Boutique Hotel,
"Palampur, Himachal Pradesh, India",Palampur," Himachal Pradesh, India",0,32.11,76.54,4 Bed Room Boutique Villa/ Private Butler,10,460,Entire Villa,
"Kochi, Kerala, India",Kochi," Kerala, India",0,9.97,76.24,Sea Facing Deluxe Suites In Fort Kochi - Cgh Earth,2,448,Room In Boutique Hotel,
"Alappuzha, Kerala, India",Alappuzha," Kerala, India",0,9.46,76.36,Luxury Five Bedroom Private Houseboat,15,468,Boat,5.00
"Varanasi, Uttar Pradesh, India",Varanasi," Uttar Pradesh, India",0,25.31,83.01,"Brijrama Palace, Experience Heritage With Luxury.",2,461,Room In Heritage Hotel,
"Khingar, Maharashtra, India",Khingar," Maharashtra, India",0,17.91,73.83,Rustik Highland Villa,12,463,Entire Villa,
"Udaipur, Rajasthan, India",Udaipur," Rajasthan, India",1,24.58,73.69,The Neem Tree Udaipur Boutique Retreat,16,481,Room In Boutique Hotel,
"Kanthavli, Maharashtra, India",Kanthavli," Maharashtra, India",0,18.90,73.05,5 Bed Lavish Indoor Pool Villa On Rent Near Panvel,16,481,Entire Villa,
"Lonavla, Maharashtra, India",Lonavla," Maharashtra, India",0,18.78,73.46,Casa Di Vetro By Lifestyle Villa-4bhk Luxury Villa,15,393,Entire Villa,
"Penha De França, Goa, India",Penha De França," Goa, India",0,15.55,73.82,Dear Zindagi Villa !,10,481,Entire Villa,
"Kodaikanal, Tamil Nadu, India",Kodaikanal," Tamil Nadu, India",0,10.26,77.48,"Le Mistral, Kodai - Luxury Villa",12,476,Entire Home,4.67
"Candolim, Goa, India",Candolim," Goa, India",1,15.52,73.78,"3bd Pool Villa W/Cook,5 Mins To Candolim Beach",8,416,Entire Villa,4.94
"Anjuna - Vagator, Goa, India",Anjuna - Vagator," Goa, India",0,15.60,73.75,Laviola-3bhk Lovely Private Pool Villa With Genset,7,410,Entire Home,4.73
"Verla, Goa, India",Verla," Goa, India",1,15.59,73.79,Villa Lou Goa 1903 Heritage House Withprivate Pool,12,419,Entire Villa,5.00
"Kothali, Uttarakhand, India",Kothali," Uttarakhand, India",0,30.22,79.37,Kothli Hills,10,460,Private Room In Earthen Home,
"Candolim, Goa, India",Candolim," Goa, India",0,15.51,73.77,"White Banyan - 5 Bed, Private Pool, Beach Access",10,601,Entire Villa,4.40
"Jaipur, Rajasthan, India",Jaipur," Rajasthan, India",0,26.82,75.70,Luxury Villa With Personal Pool,6,421,Entire Villa,4.33
"Amritsar, Punjab, India",Amritsar," Punjab, India",0,31.69,74.81,Spring Gardens & Farmstay Amritsar,16,481,Farm Stay,5.00
"Mumbai, Maharashtra, India",Mumbai," Maharashtra, India",0,19.15,72.89,Villa Hollywood With Private Pool & Huge Terrace.,16,481,Private Room In Villa,
"Puthenvelikara, Kerala, India",Puthenvelikara," Kerala, India",0,10.18,76.24,Madilina House,10,409,Entire Villa,4.92
"Ramnagar, Uttarakhand, India",Ramnagar," Uttarakhand, India",0,29.33,79.05,"Jaagar - A Family Retreat In Corbett, Ramnagar",12,481,Room In Resort,4.67
"Lonavla, Maharashtra, India",Lonavla," Maharashtra, India",0,18.76,73.50,6 Bhk Private Pool Villa - Alpine Riverhill Villa,16,429,Entire Villa,
"Pawna, Maharashtra, India",Pawna," Maharashtra, India",0,18.65,73.50,Blue Infinitum - Pool Villa With 180° View Of Lake,16,434,Entire Villa,5.00
"Lonavla, Maharashtra, India",Lonavla," Maharashtra, India",0,18.75,73.41,"Luxurious 5bhk Bunglow ""60 Ml Chalet "" Max 35 Ppl",15,397,Entire Bungalow,4.83
"Parra, Goa, India",Parra," Goa, India",0,15.57,73.78,Luxury Boutique Villa W/Pool In North Goa,12,421,Entire Villa,4.83
"Bangalore Urban, Karnataka, India",Bangalore Urban," Karnataka, India",0,13.18,77.58,"Surabhi Villa, Off Airport Road, Bangalore",10,481,Entire Home,5.00
"Lonavala, Maharashtra, India",Lonavala," Maharashtra, India",0,18.77,73.38,Whitehorse Villa,16,419,Entire Bungalow,4.67
"Gurugram, Haryana, India",Gurugram," Haryana, India",0,28.41,77.11,Corbett Caravan Holidays In India By Rv On,4,481,Camper/Rv,
"Bani Park, Rajasthan, India",Bani Park," Rajasthan, India",0,26.93,75.80,Wedding @ Bungalow With Garden & Pool,16,481,Castle,
"Agra, Uttar Pradesh, India",Agra," Uttar Pradesh, India",1,27.14,78.05,Two Rooms Set With Rooftop Garden,4,481,Private Room In Home,4.57
"Mussoorie, Uttarakhand, India",Mussoorie," Uttarakhand, India",0,30.45,78.08,Raghu Niwas - Your Home In The Hills,16,475,Room In Boutique Hotel,5.00
"Dehradun, Uttarakhand, India",Dehradun," Uttarakhand, India",1,30.41,78.06,The Bluedoor Luxury Villa Close To Mussoorie,12,481,Entire Vacation Home,
