address,Town,State,isHostedBySuperhost,location/lat,location/lng,name,numberOfGuests,pricing/rate/amount,roomType,stars
"Kasauli, Himachal Pradesh, India",Kasauli," Himachal Pradesh, India",1,30.90,77.02,Raiman House | 2+2bhk Home - By Homestaydaddy,12,481,Entire Condo,
"Bhimtal, Uttarakhand, India",Bhimtal," Uttarakhand, India",0,29.36,79.54,Luxury At The Lap Of Nature At Anantvilas!,6,481,Private Room In Chalet,
"Igatpuri, Maharashtra, India",Igatpuri," Maharashtra, India",0,19.69,73.58,Alluring 3 Bedroom Villa In Igatpuri,10,481,Entire Villa,
"Jaipur, Rajasthan, India",Jaipur," Rajasthan, India",0,26.90,75.79,1 Manhattan •Luxurious 3 Bhk Penthouse•,7,478,Entire Condo,3.33
"Panchgani, Maharashtra, India",Panchgani," Maharashtra, India",0,17.92,73.81,Hilltop'S Hashnoor Villa 21,16,481,Entire Villa,
"Kotagiri, Tamil Nadu, India",Kotagiri," Tamil Nadu, India",0,11.43,76.86,Rayne Forest - Luxury 5 Br Villa In Kotagiri,16,471,Entire Villa,
"Bengaluru, Karnataka, India",Bengaluru," Karnataka, India",0,12.87,77.58,"4x2bhk For Weddings, Haldi, Mehndi, Sangeet, 40pax",16,481,Entire Condo,5.00
"Lonavla, Maharashtra, India",Lonavla," Maharashtra, India",0,18.78,73.39,9bhk || 30pax || Near Della || Mountain View.,16,479,Entire Villa,
"Kasauli, Himachal Pradesh, India",Kasauli," Himachal Pradesh, India",0,30.89,76.97,Pine Peak Villa,16,430,Entire Villa,4.90
"Chennai, Tamil Nadu, India",Chennai," Tamil Nadu, India",0,12.88,80.25,Costa Verde Seafront Villa With 24x7 Pool,15,398,Entire Home,4.75
"New Delhi, Delhi, India",New Delhi," Delhi, India",0,28.57,77.16,Cameo Art House 1,2,481,Private Room In Bed And Breakfast,4.80
"Kihim, Maharashtra, India",Kihim," Maharashtra, India",1,18.73,72.87,Luxury 3 Bhk Villa W Pvt Pool - 2 Mins To Beach,10,436,Entire Home,4.94
"Indore, Madhya Pradesh, India",Indore," Madhya Pradesh, India",0,22.73,75.94,The Mangrove Villa,16,430,Entire Villa,
"Krishnagiri, Tamil Nadu, India",Krishnagiri," Tamil Nadu, India",0,12.80,77.83,10 Bedrooms In A Resort With A Swimming Pool,16,421,Private Room In Resort,
"Moira, Ga, India",Moira," Ga, India",0,15.59,73.84,"The Inner Temple Sanctuary, Moira, Goa",10,412,Entire Villa,4.88
"Verla, Goa, India",Verla," Goa, India",0,15.59,73.78,Hendrix Luxury Villa With Private Pool,16,421,Entire Villa,4.75
"Shashbani, Uttarakhand, India",Shashbani," Uttarakhand, India",0,29.43,79.68,4 Bedrooms At Mukteshwar; Miago,10,481,Entire Villa,
"Alibag, Maharashtra, India",Alibag," Maharashtra, India",0,18.67,72.87,Private Villa In Alibaug-Mazzo Reef,4,481,Entire Home/Apt,
"Anjuna, Goa, India",Anjuna," Goa, India",0,15.58,73.76,Frangipani Villa In Idyllic Laid Back Anjuna Goa,6,405,Entire Villa,4.86
"Sheel, Himachal Pradesh, India",Sheel," Himachal Pradesh, India",0,31.15,77.70,7 Room Villa,14,467,Farm Stay,
"Ahmedabad, Gujarat, India",Ahmedabad," Gujarat, India",0,23.07,72.56,Recently Renovated Bungalow In The Heart Of City,16,481,Entire Bungalow,4.62
"New Delhi, Delhi, India",New Delhi," Delhi, India",0,28.46,77.20,Golden Arch-5 Bedroom Farm House,10,481,Entire Villa,4.57
"Lonavla, Maharashtra, India",Lonavla," Maharashtra, India",0,18.75,73.37,"Bahisht, The Heritage Pool Villa",8,433,Entire Villa,5.00
"Assagao, Goa, India",Assagao," Goa, India",1,15.60,73.78,"4 Bhk, A Perfect Luxury Villa, Assagaon-Amanassa 1",10,426,Entire Villa,4.80
"Nerul, Goa, India",Nerul," Goa, India",0,15.50,73.80,"De La Mer, 4br Sea Facing Pool Villa In Nerul, Goa",12,407,Entire Villa,
"Krishnagiri, Tamil Nadu, India",Krishnagiri," Tamil Nadu, India",0,12.80,77.83,Resort Stay With A Pool For Large Groups,16,421,Private Room In Resort,4.33
"Anjuna, Goa, India",Anjuna," Goa, India",0,15.60,73.75,Lazamora-3bhk Lavish Villa With Private Pool,7,411,Entire Villa,
"Canacona, Goa, India",Canacona," Goa, India",1,14.97,74.05,Pvt Pool-Villa Getaway 200m From Galgibaga Beach,7,421,Entire Villa,5.00
"Pune, Maharashtra, India",Pune," Maharashtra, India",1,18.54,73.90,Jewelz 6 - Luxury Villa In Koregaon Park,16,440,Entire Bungalow,4.80
"Goa, India",Goa, India,1,15.54,73.77,Mingle With The Stars In An Open To Sky Bathroom,16,425,Entire Home,4.92
"Arpora, Goa, India",Arpora," Goa, India",0,15.55,73.76,6bhk Opulent Luxury Villa With Private Pool @ Baga,12,481,Entire Villa,
"Pawnanagar, Maharashtra, India",Pawnanagar," Maharashtra, India",0,18.70,73.52,Dam View Villa 211 (Pure Veg),12,481,Farm Stay,
"Sadahalli, Karnataka, India",Sadahalli," Karnataka, India",0,13.21,77.64,Swisstown Villa By Jadecaps|Theatre - Long Stays,12,454,Entire Villa,
"Vashist, Himachal Pradesh, India",Vashist," Himachal Pradesh, India",0,32.28,77.18,"The Croft Manali- Entire Villa, Cottage, Homestay",6,472,Entire Cottage,
"Baga, Goa, India",Baga," Goa, India",0,15.56,73.75,The Baga Villa Private Pool 5bhk,15,481,Entire Villa,
"Goa, India",Goa, India,1,15.54,73.77,Private Luxury Home With Spacious Design,14,473,Entire Home,
"Mandrem, Goa, India",Mandrem," Goa, India",0,15.66,73.72,"Goan House, Opposite Ashvem Beach, Complete Privcy",4,445,Entire Home,
"Candolim, Goa, India",Candolim," Goa, India",0,15.51,73.79,4bhk Villa Belle Vue With Private Pool @Candolim,10,481,Entire Villa,
"Karjat., Mh, India",Karjat.," Mh, India",0,19.72,73.03,Luxurious Maharaja Tents Near Karjat.Heart Nature.,16,481,Campsite,
"Candolim, Goa, India",Candolim," Goa, India",0,15.52,73.76,Baleno Arco Villa,15,481,Entire Villa,
"Hairiya Gaon, Uttarakhand, India",Hairiya Gaon," Uttarakhand, India",0,29.37,79.56,Villa Camelia By The Venya,6,457,Entire Home,
"Dehradun, Uttarakhand, India",Dehradun," Uttarakhand, India",0,30.39,78.07,Malsi Loghut Dehradun-Private Cottage With Garden,5,421,Private Room In Bed And Breakfast,4.00
"Ooty, Tamil Nadu, India",Ooty," Tamil Nadu, India",0,11.41,76.69,6 Bhk Greenwood- A Heritage Bungalow W/ Huge Lawn,16,465,Entire Villa,4.73
"Calangute, Goa, India",Calangute," Goa, India",0,15.54,73.76,Lovely Wooden Cottage At Calungute,3,455,Room In Boutique Hotel,
"Udaipur, Rajasthan, India",Udaipur," Rajasthan, India",0,24.59,73.71,"4 Burj, Jharokha Suits @Castle Oodeypore",12,481,Private Room In Castle,
"Bagalur, Tamil Nadu, India",Bagalur," Tamil Nadu, India",0,12.86,77.88,Gruham By Chazing Purple,10,421,Farm Stay,
"Kochi, Kerala, India",Kochi," Kerala, India",0,9.96,76.24,"Art Deco Bungalow With Private Pool, Fort Kochi",6,480,Entire Bungalow,
"Candolim, Goa, India",Candolim," Goa, India",1,15.53,73.79,Whitehouse By Hireavilla - 3br W Valley View,9,399,Entire Villa,5.00
"Kochi, Kerala, India",Kochi," Kerala, India",0,9.96,76.24,Beach Gate Bungalows With Private Pool - Cgh Earth,6,480,Entire Home,
"Vagator, Goa, India",Vagator," Goa, India",0,15.59,73.75,Casa Amor In Assagao Is A 4 Bed Private Pool Villa,10,399,Entire Villa,
"Lucknow, Uttar Pradesh, India",Lucknow," Uttar Pradesh, India",1,26.86,81.00,Luxe 9bhk Villa W/Ac Lounge & Terrace In Gomtingr,16,397,Entire Bungalow,5.00
"Marudanapalli, Tn, India",Marudanapalli," Tn, India",0,12.54,77.76,Lush Resorts - 9 Villas With Private Pool,16,409,Private Room In Resort,
"North Goa, Goa, India",North Goa," Goa, India",0,15.53,73.77,"5 Bed Independent Villa With Pvt. Pool, Calangute",15,475,Entire Home,
"Vagator, Goa, India",Vagator," Goa, India",1,15.61,73.75,"Sol Sureno, Assagao - Luxury Private Bungalow",12,399,Entire Bungalow,4.90
"Uttarakhand, India",Uttarakhand, India,1,30.06,78.52,Aashraya On The Ganga : Himalayan Farmstay Retreat,12,412,Farm Stay,4.50
"Lonavala, Maharashtra, India",Lonavala," Maharashtra, India",0,18.76,73.40,5 Bedroom Spacious Family Home. Centrally Located,16,455,Entire Villa,4.50
"Mumbai, Maharashtra, India",Mumbai," Maharashtra, India",0,19.14,72.79,#Shubham Villa Available For Events#,16,454,Entire Bungalow,
"Alibag, Maharashtra, India",Alibag," Maharashtra, India",0,18.61,72.90,Pvt Resort With Pool At Nagaon Beach.,16,469,Entire Vacation Home,
"Kanathur, Chennai, Tamil Nadu, India",Kanathur," Chennai, Tamil Nadu, India",0,12.85,80.25,"Exclusive Beach Villa @ Ecr, Chennai.",16,430,Entire Villa,4.80
"Mandrem, Goa, India",Mandrem," Goa, India",0,15.67,73.71,Villa Mandrem - Luxury 1 Acre 5bhk Estate,12,397,Entire Villa,
"Anjuna, Goa, India",Anjuna," Goa, India",0,15.60,73.75,Lazamora-3bhk Serene Private Pool Villa In Vagator,6,411,Entire Home,
"Candolim, Bardez, India",Candolim," Bardez, India",0,15.52,73.77,8 Bhk Luxury Villa With Private Pool - Candolim,16,426,Entire Villa,
"Anjuna, Goa, India",Anjuna," Goa, India",0,15.60,73.75,Lazamora-3bhk Pvt Pool Villa With Garden & Terrace,6,411,Entire Home,4.67
"Pawnanagar, महाराष्ट्र, India",Pawnanagar," महाराष्ट्र, India",0,18.70,73.52,White Villa (127) - Amarja Hills,8,421,Farm Stay,
"Udaipur, Rajasthan, India",Udaipur," Rajasthan, India",0,24.49,73.58,Twin Four Poster Room With View Of The City Palace,3,421,Private Room In Villa,
"Anjuna, Goa, India",Anjuna," Goa, India",0,15.59,73.75,Individual Luxurious 5bhk Privatepool Villa Anjuna,15,409,Entire Villa,
"Lonavala, Maharashtra, India",Lonavala," Maharashtra, India",0,18.73,73.37,Amidst Nature A Unique & Premium 9 Bedroom Villa,16,402,Entire Villa,
"Candolim, Goa, India",Candolim," Goa, India",0,15.53,73.77,Looknomore 5br Pool Villa Candolim Beach 600m,13,409,Entire Villa,
"Lonavla, Maharashtra, India",Lonavla," Maharashtra, India",0,18.70,73.45,6 Bedroom Villa Av Lakeside,15,427,Entire Villa,
"Chennai, Tamil Nadu, India",Chennai," Tamil Nadu, India",0,12.98,80.27,Beach Elegance - Sea Side Bungalow,16,409,Entire Villa,4.75
"Kodaikanal, Tamil Nadu, India",Kodaikanal," Tamil Nadu, India",1,10.25,77.48,Sama Farms,16,446,Farm Stay,
"Anjuna, Goa, India",Anjuna," Goa, India",0,15.60,73.75,Lazamora | Jacuzzi | Genset | Wi-Fi | Anjuna,6,411,Entire Home,5.00
"Dehradun, Uttarakhand, India",Dehradun," Uttarakhand, India",0,30.40,78.07,Lechateau - A Heritage French Colonial Estate,8,409,Entire Bungalow,
"Mumbai, Maharashtra, India",Mumbai," Maharashtra, India",0,19.14,72.81,Entire Bungalow In Madh With Pvt Swimming Pool Xx2,16,391,Entire Bungalow,
"Morve, Maharashtra, India",Morve," Maharashtra, India",0,18.65,73.44,Near Water Fall 3 Bhk With Private Swimming Pool,12,421,Private Room In Bungalow,
"Khandala, Maharashtra, India",Khandala," Maharashtra, India",0,18.78,73.38,Casa Dios,16,476,Entire Villa,
"Kotagiri, Tamil Nadu, India",Kotagiri," Tamil Nadu, India",0,11.41,76.89,Villa Mystique | Luxury 8br In Tea Plantations,16,487,Entire Villa,
"Jaipur, Rajasthan, India",Jaipur," Rajasthan, India",0,26.90,75.86,Exclusive Palace Stay Sleeps 8. The Rani Vilas,8,421,Castle,4.64
"Lonavala, Maharashtra, India",Lonavala," Maharashtra, India",0,18.75,73.40,Lonavalalake 7bhk Luxury Villa With Pool,15,481,Entire Villa,
"Kutta, Ka, India",Kutta," Ka, India",0,11.96,76.02,7 Bedrooms # Private Riverside #Serenehome,16,421,Entire Place,
"Puducherry, India",Puducherry, India,0,11.92,79.82,Luxury Villa With Private Pool,15,481,Entire Home,
"New Delhi, Delhi, India",New Delhi," Delhi, India",0,28.50,77.14,Brookwood Gardens Swimming Pool Villa 5 Bhk,16,421,Farm Stay,
"Chikkamagaluru, कर्नाटक, India",Chikkamagaluru," कर्नाटक, India",0,13.35,75.67,"Silver Fern, Homestay Near Bhadra Wildlife Santury",16,425,Private Room In Bed And Breakfast,
"Calangute, Goa, India",Calangute," Goa, India",0,15.53,73.76,4 Bhk Super Luxury Apartment @ Candolim,10,430,Entire Serviced Apartment,
"Diveagar, Karle, Maharashtra, India",Diveagar," Karle, Maharashtra, India",0,18.15,73.00,Red Stone Village Farmstays - Bungalow 1,12,421,Farm Stay,
"Bhilar, Maharashtra, India",Bhilar," Maharashtra, India",0,17.91,73.76,Palatial Palace,16,481,Entire Villa,
"Maravanthe, Karnataka, India",Maravanthe," Karnataka, India",0,13.73,74.64,Kundapura Beach Stay: Ac Deluxe Cottage,3,421,Private Room In Cottage,
"Anjuna, Goa, India",Anjuna," Goa, India",0,15.60,73.75,Lazamora | Pool | 2.5 Km Beach | Wi-Fi | Anjuna,6,399,Entire Home,
"Wavarle, Maharashtra, India",Wavarle," Maharashtra, India",0,18.92,73.28,"Stayvista At Twilight Grove - 4br W/ Bbq, Pool",12,410,Entire Villa,
"Mount Abu, Rajasthan, India",Mount Abu," Rajasthan, India",0,24.60,72.71,Bungalow With Garden & Terrace Near Nakki Lake,14,421,Entire Home,
"Candolim, Goa, India",Candolim," Goa, India",0,15.51,73.77,4bhk Lilac Villa With A Private Pool @ Candolim,10,421,Entire Villa,
"Thattekad, Kerala, India",Thattekad," Kerala, India",0,10.11,76.70,Sparrow Vale Resorts-Entire Property For One Group,16,414,Entire Cottage,
"Candolim, Goa, India",Candolim," Goa, India",0,15.52,73.77,Serene Garden 3bed,8,421,Entire Villa,
"Nainital, Uttarakhand, India",Nainital," Uttarakhand, India",0,29.39,79.45,Emily Heritage Villa Nainital,12,421,Entire Cottage,
"Kanatal, Uttarakhand, India",Kanatal," Uttarakhand, India",0,30.43,78.33,Avalon 5 Bedroom Cottage | Mountain View,10,463,Entire Chalet,4.66
"Sangolda, Goa, India",Sangolda," Goa, India",0,15.55,73.81,Casa Da Rosa By Hireavilla - 4br W Private Pool,10,488,Entire Villa,4.87
"Alibag, Maharashtra, India",Alibag," Maharashtra, India",1,18.73,72.89,Kapadia Bunglow,10,481,Entire Bungalow,4.90
"Gokarna, Karnataka, India",Gokarna," Karnataka, India",1,14.54,74.34,Kahani Paradise By Hireavilla- 6br Overlooking Sea,3,472,Entire Villa,
"Candolim, Goa, India",Candolim," Goa, India",0,15.53,73.77,Premium 8br Villa W Private Pool Nr Candolim Beach,16,474,Entire Villa,4.67
"Anjuna, Goa, India",Anjuna," Goa, India",0,15.58,73.74,Serene Seven Frangipanni Villas Anjuna,12,443,Entire Home,5.00
"Mandrem, Goa, India",Mandrem," Goa, India",0,15.67,73.72,The Mandrem House - 5bhk Luxury Villa With A Pool,14,440,Entire Villa,4.79
"Satirje, Maharashtra, India",Satirje," Maharashtra, India",0,18.74,72.90,Baan Thai - 4 Bedroom Luxurious Villa In Alibag,8,464,Entire Villa,4.70
"Gurugram, Haryana, India",Gurugram," Haryana, India",0,28.29,76.93,Simbliss Farmhouse With Pool Near Delhi & Gurgaon,12,472,Farm Stay,4.71
"Reis Magos, Goa, India",Reis Magos," Goa, India",0,15.50,73.80,Bayview 4br Petfriendly Villa Pvtpool,8,464,Entire Villa,4.72
"Karjat, Maharashtra, India",Karjat," Maharashtra, India",0,18.93,73.32,Jenjon Karjat Resort - Casa Rosa,8,394,Entire Villa,
"Haripur, Himachal Pradesh, India",Haripur," Himachal Pradesh, India",0,32.15,77.16,Stayvista At Hilltop Haven - 6br✦Breakfast✦Bonfire,15,433,Entire Villa,
"Alappuzha, Kerala, India",Alappuzha," Kerala, India",0,9.50,76.35,Angel Boat House 4 Bedroom,8,421,Houseboat,
"New Delhi, Delhi, India",New Delhi," Delhi, India",0,28.44,77.21,The Tree House,2,469,Treehouse,
"Udaipur, Rajasthan, India",Udaipur," Rajasthan, India",0,24.57,73.63,Beautiful Room In Bujera Fort 15 Minutes From City,3,421,Private Room In Villa,
"Goa, India",Goa, India,0,15.53,73.76,3- Bedroom Villa With Pvt Swimming Pool,6,439,Private Room In Resort,
"Bini, Himachal Pradesh, India",Bini," Himachal Pradesh, India",0,31.65,77.35,The Blue Sheep Tirthan,2,421,Room In Hotel,
"Jojawar, Rajasthan, India",Jojawar," Rajasthan, India",0,25.53,73.76,"1br Luxury Suite Kesarbagh W/Balcony 01 , Jojawar",3,409,Room In Boutique Hotel,5.00
"Udaipur, Rajasthan, India",Udaipur," Rajasthan, India",0,24.49,73.58,Beautiful Suite In Bujera Viewing The City Palace,3,421,Private Room In Villa,
"Mukhteshwar, Uttrakhand, India",Mukhteshwar," Uttrakhand, India",0,29.46,79.66,The Orchard At Peora Estates | Royal Suite,2,391,Private Room In Bungalow,
"Chaukariya, Rajasthan, India",Chaukariya," Rajasthan, India",0,24.52,73.62,Three Bedroom Villa With Pool In Udaipur,10,394,Farm Stay,
"Kumarakom, Kerala, India",Kumarakom," Kerala, India",0,9.63,76.42,"Luxury Pool Villa, Coconut Lagoon - Cgh Earth",2,439,Room In Resort,
"Candolim, Goa, India",Candolim," Goa, India",0,15.52,73.77,The Marine Beach Villa,12,433,Entire Villa,
"Jaipur, Rajasthan, India",Jaipur," Rajasthan, India",0,27.00,75.80,Organic Farm Stay With Clay Oven In Jaipur,10,421,Farm Stay,
"Nawanpind Sardaran, Punjab, India",Nawanpind Sardaran," Punjab, India",0,31.98,75.40,"The Kothi, Village Stay, Punjab, India (Villa)",12,421,Farm Stay,4.75
"Kodaikanal, Tamil Nadu, India",Kodaikanal," Tamil Nadu, India",0,10.25,77.47,Sunriseonhills Will Be A Perfect Place To Unwind.,16,421,Private Room In Villa,
"Maravanthe, Karnataka, India",Maravanthe," Karnataka, India",0,13.73,74.64,Kundapura Beach Stay: Ac Sun Cottage,2,421,Private Room In Cottage,
"Lonavla, Maharashtra, India",Lonavla," Maharashtra, India",1,18.76,73.44,3bhk Pool Villa 36 By The Rentalgram,10,150,Entire Villa,4.70
"Nedumudy, Kerala, India",Nedumudy," Kerala, India",0,9.42,76.41,"4br Riverside Hideaway W/ 2 Pvt Pools, Alleppey",8,433,Private Room In Nature Lodge,
"Udupi, Karnataka, India",Udupi," Karnataka, India",0,13.38,74.70,Udupi Beach House: Seascape,10,149,Private Room In Bungalow,4.83
"Jaipur, Rajasthan, India",Jaipur," Rajasthan, India",0,26.92,75.80,Alsisar Haveli - A Heritage Home,2,132,Entire Serviced Apartment,4.93
"Penha De França, Goa, India",Penha De França," Goa, India",1,15.52,73.82,Luxury Service Apartments W/Pool In North Goa,12,130,Room In Serviced Apartment,4.71
"Jaipur, Rajasthan, India",Jaipur," Rajasthan, India",0,26.90,75.82,Royal Suite !,2,131,Room In Heritage Hotel,4.76
"Vagator, Goa, India",Vagator," Goa, India",1,15.60,73.75,5 Star Luxe Villa North Goa With Olympic Size Pool,10,150,Entire Villa,4.94
"Candolim, Goa, India",Candolim," Goa, India",1,15.51,73.77,Serenidad - 3bhk Penthouse With Private Terrace!,8,148,Entire Serviced Apartment,4.68
"Lonavla, Maharashtra, India",Lonavla," Maharashtra, India",0,18.78,73.39,The Most Luxurious Villa With Private Swimming,16,133,Entire Villa,3.83
"Marsur, Karnataka, India",Marsur," Karnataka, India",0,12.76,77.70,"Cedar House Farm Stay, 20 Mins From Koramangala",12,135,Farm Stay,4.86
"Lonavala, Maharashtra, India",Lonavala," Maharashtra, India",0,18.76,73.40,Elegant Villa: Luxury 4bhk By Limestays,16,133,Entire Villa,4.57
"Assagao, Goa, India",Assagao," Goa, India",0,15.60,73.77,Indo - Portuguese Villa In Assagao,7,147,Entire Villa,4.55
"Siolim, Goa, India",Siolim," Goa, India",1,15.62,73.77,Riviera Sublime 3bhk Villa,10,137,Entire Villa,4.78
"Nainital, Uttarakhand, India",Nainital," Uttarakhand, India",0,29.51,79.64,Meraki @ The Woodhouse Farm,6,153,Farm Stay,5.00
"Varca, India",Varca, India,0,15.22,73.94,A Cosy Villa Near The Beach In Goa,10,134,Entire Villa,4.60
"Nainital, Uttarakhand, India",Nainital," Uttarakhand, India",0,29.46,79.65,Sara'S Chalet Two With Garden View,5,149,Entire Chalet,4.42
"Kodaikanal, Tamil Nadu, India",Kodaikanal," Tamil Nadu, India",1,10.27,77.47,Anisree (4 Bedroom Home With Valley View),8,151,Entire Home,4.81
"Gurugram, Haryana, India",Gurugram," Haryana, India",0,28.36,76.95,"Farm Villa With Pool Near Nh 8, Bonfire",14,132,Entire Home,3.85
"Goa, India",Goa, India,1,15.51,73.77,3 Bhk Luxury Beach Villa. Happy 2 U Candolim.,10,139,Entire Bungalow,4.92
"Pravithanam, Kerala, India",Pravithanam," Kerala, India",0,9.74,76.74,Pool Villa - The Humming Trees,16,192,Entire Villa,4.92
"Lonavala, Maharashtra, India",Lonavala," Maharashtra, India",0,18.73,73.40,Stayvista Scenic View - 4br Bungalow 89,12,193,Entire Villa,4.36
"Gurugram, Haryana, India",Gurugram," Haryana, India",1,28.29,76.93,Farm The Retreat | With Private Pool,6,196,Farm Stay,4.74
"Chapora, Goa, India",Chapora," Goa, India",0,15.61,73.74,Elsereno-2bhk Apt With Private Garden-North Goa,4,140,Entire Rental Unit,4.77
"Lanja, Maharashtra, India",Lanja," Maharashtra, India",0,16.88,73.47,Terrakot....A Mango Breeze!,9,192,Farm Stay,
"Panchgani, Maharashtra, India",Panchgani," Maharashtra, India",1,17.94,73.81,Valley View Bungalow On Rent In Panchgani,16,190,Entire Home,4.91
"Lonavala, Maharashtra, India",Lonavala," Maharashtra, India",0,18.76,73.40,Shalimar Royal: Luxurious 4bhk Villa By Limestays,16,133,Entire Villa,4.41
"Jaipur, Rajasthan, India",Jaipur," Rajasthan, India",0,26.98,75.78,Alberto Villa' -High End Luxury Mansion With Pool,10,192,Entire Villa,
"Ranga Reddy, Telangana, India",Ranga Reddy," Telangana, India",0,17.29,78.23,Experience Serenity At This 2bhk Pool Property,14,192,Entire Villa,5.00
"Lonavala, Maharashtra, India",Lonavala," Maharashtra, India",1,18.75,73.42,Modi House,16,194,Entire Bungalow,4.66
"Nainital, Uttarakhand, India",Nainital," Uttarakhand, India",0,29.42,79.55,Sara'S Chalet Three W/ Lawn,5,132,Entire Chalet,4.43
"Colva, Goa, India",Colva," Goa, India",0,15.28,73.92,Luxurious 3bhk Villa With Private Pool At Colva,9,191,Entire Home,3.20
"Jaipur, Rajasthan, India",Jaipur," Rajasthan, India",0,26.93,75.89,4 Br Artisana Farm With Swimming Pool In Jaipur,10,129,Farm Stay,4.49
"Vagator, Goa, India",Vagator," Goa, India",1,15.60,73.76,"3bhk Luxury Villa-Villa Da' Sixth, Vagator- Anjuna",8,141,Entire Villa,4.83
"Alto Porvorim, Goa, India",Alto Porvorim," Goa, India",1,15.52,73.82,Serviced Apartments W Pool & Breakfast For Upto 12,12,133,Room In Serviced Apartment,5.00
"Dhanolti, Uttarakhand, India",Dhanolti," Uttarakhand, India",1,30.45,78.20,A Secluded Wood Cabin @ Dhanaulti (Falcon Crest ),4,135,Entire Cabin,4.89
"Baga, Goa, India",Baga," Goa, India",0,15.56,73.76,Cute 3 Bedroom Villa 300m From Baga Beach,6,129,Entire Villa,4.53
"Chennai, Tamil Nadu, India",Chennai," Tamil Nadu, India",0,12.71,80.23,"B'S Hive On The Beach - ""Kadal""",10,137,Entire Cottage,4.78
"Manali, Himachal Pradesh, India",Manali," Himachal Pradesh, India",1,32.25,77.18,4bhk: The Forestbound Cottage,10,153,Entire Villa,5.00
"Sangolda, Goa, India",Sangolda," Goa, India",0,15.55,73.80,Baga/Calangute 7min Drive- 3bhk Villa With Pool,12,137,Entire Villa,4.44
"Igatpuri, Maharashtra, India",Igatpuri," Maharashtra, India",0,19.68,73.58,Cabaral Villa: Artsy 3bhk With Pool By Limestays,16,137,Entire Villa,4.40
"Kasauli, Hp, India",Kasauli," Hp, India",0,30.90,77.02,The Anchorage By Sonali - Kasauli,6,139,Entire Cottage,4.75
"New Delhi, Delhi, India",New Delhi," Delhi, India",1,28.52,77.14,Villa Spend Time And Make Memories,10,150,Entire Villa,
"Nalambi, Maharashtra, India",Nalambi," Maharashtra, India",1,19.23,73.22,"Jumbo Pool Villa, Ambernath",12,152,Farm Stay,4.80
"Sughandhagiry, Kerala, India",Sughandhagiry," Kerala, India",0,11.58,76.00,A Frame Wildrootstay Orchid Family Chalet,6,131,Farm Stay,3.80
"Chalnichhina, Uttarakhand, India",Chalnichhina," Uttarakhand, India",1,29.55,79.81,Hushstay X House On The Slope :Facing The Himalaya,6,192,Farm Stay,5.00
"Goa, India",Goa, India,1,15.60,73.76,"Vagator ,Cosy & Modern 3 Bedroom Villa For 8",8,196,Entire Villa,5.00
"Munnar, Kerala, India",Munnar," Kerala, India",0,10.16,77.17,"Nature Castle(Willus Villa),Munnar,Vattavada",16,154,Entire Villa,4.53